Num,Image url,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
152,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,Chikorita,Grass,,318,45,49,65,49,65,45
153,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,Bayleef,Grass,,405,60,62,80,63,80,60
154,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,Meganium,Grass,,525,80,82,100,83,100,80
155,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,Cyndaquil,Fire,,309,39,52,43,60,50,65
156,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,Quilava,Fire,,405,58,64,58,80,65,80
157,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,Typhlosion,Fire,,534,78,84,78,109,85,100
158,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,Totodile,Water,,314,50,65,64,44,48,43
159,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,Croconaw,Water,,405,65,80,80,59,63,58
160,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,Feraligatr,Water,,530,85,105,100,79,83,78
161,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,Sentret,Normal,,215,35,46,34,35,45,20
162,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,Furret,Normal,,415,85,76,64,45,55,90
163,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,Hoothoot,Normal,Flying,262,60,30,30,36,56,50
164,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,Noctowl,Normal,Flying,452,100,50,50,86,96,70
165,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,Ledyba,Bug,Flying,265,40,20,30,40,80,55
166,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,Ledian,Bug,Flying,390,55,35,50,55,110,85
167,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,Spinarak,Bug,Poison,250,40,60,40,40,40,30
168,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,Ariados,Bug,Poison,400,70,90,70,60,70,40
169,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Crobat,Poison,Flying,535,85,90,80,70,80,130
170,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,Chinchou,Water,Electric,330,75,38,38,56,56,67
171,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,Lanturn,Water,Electric,460,125,58,58,76,76,67
172,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Pichu,Electric,,205,20,40,15,35,35,60
173,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Cleffa,Fairy,,218,50,25,28,45,55,15
174,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15
175,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Togepi,Fairy,,245,35,20,65,40,65,20
176,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,Togetic,Fairy,Flying,405,55,40,85,80,105,40
177,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,Natu,Psychic,Flying,320,40,50,45,70,45,70
178,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,Xatu,Psychic,Flying,470,65,75,70,95,70,95
179,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,Mareep,Electric,,280,55,40,40,65,45,35
180,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,Flaaffy,Electric,,365,70,55,55,80,60,45
181,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,Ampharos,Electric,,510,90,75,85,115,90,55
182,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,Bellossom,Grass,,490,75,80,95,90,100,50
183,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,Marill,Water,Fairy,250,70,20,50,20,50,40
184,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,Azumarill,Water,Fairy,420,100,50,80,60,80,50
185,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,Sudowoodo,Rock,,410,70,100,115,30,65,30
186,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,Politoed,Water,,500,90,75,75,90,100,70
187,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,Hoppip,Grass,Flying,250,35,35,40,35,55,50
188,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,Skiploom,Grass,Flying,340,55,45,50,45,65,80
189,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,Jumpluff,Grass,Flying,460,75,55,70,55,95,110
190,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,Aipom,Normal,,360,55,70,55,40,55,85
191,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,Sunkern,Grass,,180,30,30,30,30,30,30
192,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,Sunflora,Grass,,425,75,75,55,105,85,30
193,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,Yanma,Bug,Flying,390,65,65,45,75,45,95
194,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,Wooper,Water,Ground,210,55,45,45,25,25,15
195,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,Quagsire,Water,Ground,430,95,85,85,65,65,35
196,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,Espeon,Psychic,,525,65,65,60,130,95,110
197,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,Umbreon,Dark,,525,95,65,110,60,130,65
198,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,Murkrow,Dark,Flying,405,60,85,42,85,42,91
199,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,Slowking,Water,Psychic,490,95,75,80,100,110,30
200,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,Misdreavus,Ghost,,435,60,60,60,85,85,85
201,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,Unown,Psychic,,336,48,72,48,72,48,48
202,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,Wobbuffet,Psychic,,405,190,33,58,33,58,33
